VolumeID,DSC (points) single output,DSC (bboxes) single output,DSC (mixed) single output,DSC (points) Ch:0,DSC (points) Ch:1,DSC (points) Ch:2,DSC (boxes) Ch:0,DSC (boxes) Ch:1,DSC (boxes) Ch:2,DSC (combined) Ch:0,DSC (combined) Ch:1,DSC (combined) Ch:2
1.3.6.1.4.1.14519.5.2.1.6279.6001.404457313935200882843898832756,0.014058106995617289,0.9004287756548697,0.9038642790273967,0.028487641797868606,5.827505824109844e-10,0.005563283028120108,0.9011516315253592,0.8742690059092257,0.885199241041177,0.9023696682927159,0.8823811810454244,0.8875294118176333
1.3.6.1.4.1.14519.5.2.1.6279.6001.251215764736737018371915284679,0.0005795422030641411,0.8401639344808183,0.8722639660659053,6.310740880581173e-11,9.592326138168601e-11,2.982403816587413e-10,0.8580142325116861,0.8504893689333481,0.8354089532698051,0.8629375204897162,0.8534031414092267,0.842514582034182
1.3.6.1.4.1.14519.5.2.1.6279.6001.946129570505893110165820050204,0.3116328711093444,0.860864416855872,0.8549083064037464,0.007583965868047688,0.05523710314995461,0.09299948947726137,0.858576911763042,0.8451668092828153,0.8528916339548311,0.8598524763277522,0.8277634961882356,0.8238913099656777
1.3.6.1.4.1.14519.5.2.1.6279.6001.293593766328917170359373773080,0.008230453355123145,0.7474150668428138,0.6828644505334214,2.7472527397053494e-09,2.724795632902464e-09,2.6666666595555553e-09,0.7019667175461926,0.6370370375747599,0.6375545856804155,0.6674556216953188,0.6120481932384961,0.6094316812461528
1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234,0.007910350027745318,0.8378378383856829,0.7923322690340822,1.8518518484224964e-09,1.2453300109024531e-09,1.5479876137028054e-09,0.8413793108917955,0.8235294123753307,0.818181818817546,0.8141025646983893,0.8052805286954438,0.7896440136257475
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,0.00740491433736033,0.8823605539171269,0.8859495882348454,2.431315341008676e-10,2.4606299206543727e-10,2.4875621884359296e-10,0.8852844996879942,0.8761313680015346,0.8719948018359981,0.8870600152080198,0.8759787825365019,0.8692893401181105
1.3.6.1.4.1.14519.5.2.1.6279.6001.481278873893653517789960724156,0.00862068972409478,0.944725593281348,0.9456781687761395,0.0020815593715506142,0.0022507737970317195,0.003219392197403712,0.94999011662631,0.9417869144128391,0.9300604909298575,0.9468006864453641,0.9416403785517724,0.9313462493824468
1.3.6.1.4.1.14519.5.2.1.6279.6001.112740418331256326754121315800,0.015378548960608664,0.925207986691963,0.9274482070085928,0.0006385696838570744,0.0007314219572314641,0.001696483729048698,0.9346317813284865,0.9322759315234862,0.9283022028675642,0.9355530331720876,0.9312558061003607,0.9271911807885655
1.3.6.1.4.1.14519.5.2.1.6279.6001.232071262560365924176679652948,0.05422073762633679,0.7685624013552282,0.7109266944291401,0.023619047991002267,0.010121457990829221,0.01797040221037505,0.7796754911273803,0.7567793075691368,0.7488546440029761,0.7410909091850579,0.7195343762388017,0.7105933746958161
1.3.6.1.4.1.14519.5.2.1.6279.6001.822128649427327893802314908658,0.4032921822977527,0.7846889962455071,0.7663551412787143,0.5668449221024335,0.44594594968955437,0.7243243258144632,0.7671232887345969,0.7510917041437043,0.744588745694421,0.7725321898174584,0.7385892127029493,0.7272727283996995
1.3.6.1.4.1.14519.5.2.1.6279.6001.174907798609768549012640380786,0.004009623175299949,0.8163689240098942,0.8432981633756744,0.00799136079827307,0.004417555074962301,0.007740794094024018,0.8255980372468619,0.8154700679252272,0.8054354540239992,0.8318999218467749,0.8256591893298585,0.8066627008116869
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,0.10298255499395292,0.8080703570573873,0.7960880196596146,0.07668067275384417,0.06314433050055132,0.11089619657582449,0.8081123245927653,0.8012048193769052,0.7960591134009561,0.7934678195036179,0.780697563411038,0.7738598966742549
1.3.6.1.4.1.14519.5.2.1.6279.6001.692598144815688523679745963696,0.09130434822117203,0.8560311285913993,0.8454106282060259,2.331002325568759e-09,0.009433964600391594,0.004842617421688578,0.838794233500925,0.824539877515902,0.8030303032790022,0.8362779742800024,0.8220140517306627,0.80046403735445
1.3.6.1.4.1.14519.5.2.1.6279.6001.168985655485163461062675655739,0.023121387659683475,0.6995884777783423,0.6912325289819155,3.6982248507033194e-10,0.001052078379246671,0.02061855737414532,0.653312789440196,0.6326530617599809,0.6381766386920561,0.6496453905678788,0.6621253410597747,0.6631578951800554
1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366,0.23343571775628097,0.7793103449363004,0.7951469902962451,0.003009782541000916,0.05196629280058546,0.10611148481792378,0.7286486487953251,0.6840354768935502,0.6928532462123005,0.7643821912134157,0.7164948455069614,0.7239450941921988
1.3.6.1.4.1.14519.5.2.1.6279.6001.230491296081537726468075344411,0.13585434234183869,0.8948093707419342,0.8849081953045643,9.416195848007347e-10,0.05291970889332143,0.09228039122246637,0.8851258581761439,0.8733153639383131,0.8716126166718736,0.8793256433543365,0.8699867783737388,0.8609442060682644
1.3.6.1.4.1.14519.5.2.1.6279.6001.305887072264491016857673607285,1.80890705832262e-11,0.7683615825752498,0.7506849321899043,1.7875017874698358e-11,1.785778063470378e-11,2.5288925978674128e-11,0.7535410771854361,0.7528735639285242,0.7701149431893248,0.7658402210307432,0.7705382442760956,0.7752808995076379
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,6.024096349252431e-09,0.8370607033959722,0.7781350489449034,6.024096349252431e-09,0.10000000499999998,0.12182741562524155,0.8267477208913443,0.8047337283883618,0.7838616720926177,0.7880597021251949,0.7688022290562612,0.7574931886716807
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,3.875968977224926e-09,0.4122807043321022,0.4583333349454365,6.32911388399295e-09,6.32911388399295e-09,6.32911388399295e-09,0.1190476242913832,0.13953488872363437,0.0493827219173906,0.4533333357629629,0.3627907006381828,0.2786069687631494
1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,0.22178217975884718,0.7469026553152165,0.7116357509078655,0.024000003903999985,0.13492063835348952,0.1692307724260355,0.7486818985084677,0.734482759078478,0.7183811134597283,0.7072368425867815,0.7076411964989349,0.7037643212704349
1.3.6.1.4.1.14519.5.2.1.6279.6001.478062284228419671253422844986,0.09422850518936572,0.6021505384899989,0.5323993002935213,4.9261083501176924e-09,4.184100400903345e-09,4.484304912626435e-09,0.5650000010875,0.5482456150257772,0.5560975620582986,0.531881804771568,0.5191740420071179,0.5281250007373047
1.3.6.1.4.1.14519.5.2.1.6279.6001.910607280658963002048724648683,0.06253312185345355,0.77419354960111,0.657894738342567,0.003726129947030214,0.04689331881958579,0.08255159646800826,0.5757575789715335,0.6923076942800789,0.6909090927823691,0.7314285729632652,0.7500000013586956,0.7291666680772569
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,0.35687732581086495,0.8169014089664749,0.8140161730080426,5.586592147560938e-09,5.586592147560938e-09,5.586592147560938e-09,0.8168168173669165,0.7792915537349004,0.7667560327969007,0.8328611902751808,0.7862796839412145,0.7621483382042242
1.3.6.1.4.1.14519.5.2.1.6279.6001.454273545863197752384437758130,0.33211678953993284,0.7703703712208505,0.7162162171749452,0.3055555587705761,0.5511811041292083,0.5584905677038092,0.6923076934911242,0.7104247115427618,0.6716981144464222,0.6801346812116678,0.6827586217835909,0.6711864417925884
1.3.6.1.4.1.14519.5.2.1.6279.6001.440226700369921575481834344455,1.6789791803762626e-10,0.8872320596984008,0.8980716253911518,4.985044862918721e-10,3.951007505353217e-10,5.941770644122536e-10,0.8753488372672797,0.8626528693026093,0.8551401869835794,0.8914027149812659,0.8683473389970369,0.8668816214339561
1.3.6.1.4.1.14519.5.2.1.6279.6001.237428977311365557972720635401,5.338173276819613e-11,0.8451612908220604,0.8048780493753718,6.740815638237896e-11,5.5496975411759976e-11,1.2259409094978618e-10,0.8253968259511212,0.8141592925836009,0.7965116284985128,0.7722222228549382,0.7666666673148148,0.7624309398827874
1.3.6.1.4.1.14519.5.2.1.6279.6001.149893110752986700464921264055,0.01945387857575183,0.8903693217350056,0.8920728222756114,0.030519251216494576,0.02091454742770159,0.02286021656539634,0.8907648151320798,0.8856389762823893,0.8833972926292162,0.8951406649659623,0.8901204216888153,0.885482938119248
1.3.6.1.4.1.14519.5.2.1.6279.6001.302557165094691896097534021075,0.1186317324895809,0.8506200676858455,0.8417861080921207,0.0012070012062721778,0.019480520011103612,0.02898550776758695,0.85493656926229,0.840109890153816,0.8348723520274655,0.8386406208620175,0.8319395738246723,0.8224993367411783
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,0.0714346314523259,0.8635291195997108,0.8620647526130648,0.0012914337061361528,0.00371900847030599,0.011297071336548729,0.8516771488663946,0.843440348811806,0.8221690590347994,0.8564167725722469,0.8409235872125369,0.8188854489397722
1.3.6.1.4.1.14519.5.2.1.6279.6001.130765375502800983459674173881,9.647853351698229e-11,0.8443113777116426,0.8358208960124749,1.127649977319841e-10,9.692740136697417e-11,2.0554984579536485e-10,0.8201438855390508,0.7549668882285865,0.7532467540479002,0.8284023673715907,0.7749287755700035,0.764367816769058
1.3.6.1.4.1.14519.5.2.1.6279.6001.338447145504282422142824032832,0.322147655556056,0.7591240893494592,0.8068181829158058,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,0.412371140078648,0.5185185229766803,0.5636363676033057,0.7785234914193054,0.7402597419463653,0.7320261455423128
1.3.6.1.4.1.14519.5.2.1.6279.6001.771831598853841017505646275338,0.040639504998386845,0.7548453608373791,0.7622626384206492,0.0006943641938786755,0.004379898685525599,0.004601403542551316,0.7553639040936388,0.7478576993119783,0.7380398241666387,0.7655541401393349,0.7555420589252181,0.7429658556251644
1.3.6.1.4.1.14519.5.2.1.6279.6001.955688628308192728558382581802,0.017103153434317182,0.8275396557834054,0.765859692566556,0.003187251068222582,0.011616804661710948,0.025770713026761715,0.8242928452871393,0.8009844134863028,0.8141015179020562,0.8156797331416714,0.7890573500677229,0.8064935065249199
