VolumeID,DSC (points) single output,DSC (bboxes) single output,DSC (mixed) single output,DSC (points) Ch:0,DSC (points) Ch:1,DSC (points) Ch:2,DSC (boxes) Ch:0,DSC (boxes) Ch:1,DSC (boxes) Ch:2,DSC (combined) Ch:0,DSC (combined) Ch:1,DSC (combined) Ch:2
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,0.007937200196076381,0.8418604654840455,0.825396825792751,0.890178201454547,0.03913725067951173,0.005133803581415881,0.9509803921787074,0.9352455454431788,0.9176172370436767,0.9460176991389302,0.9260533104359187,0.909167015525673
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,0.3463969666922921,0.7806267812517755,0.7527472534265185,0.09161781217750974,0.01126852208226883,0.0031464719883440694,0.9458094917718581,0.9443902439205235,0.9352380952586545,0.9424222369482388,0.9370808048747745,0.9225505443475737
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,0.1576024725156873,0.9339433365768797,0.9273070922847819,0.02139184668365689,0.004190349605036592,0.0012432441411164281,0.9292291502422444,0.9047981721490739,0.8881153655176243,0.9172271081435005,0.8927768058253495,0.8726207906606586
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,0.007026340801425818,0.9096638656411093,0.8891149543345728,0.0065742894810703525,0.001997756368994828,0.0004379832562367549,0.7826086959301679,0.7327188943171441,0.725400457980091,0.7327188943171441,0.6680412374556276,0.6409495552512863
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,0.017090250704854405,0.9076628352667313,0.9139843608085135,0.014482177995257806,0.003682330324214313,0.0008523332654831987,0.9386281590663244,0.8791946312778703,0.8471337584486186,0.9034482761950059,0.8534201959171981,0.8338557998938689
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,0.19393556546705248,0.9087301587754315,0.9047386419615346,0.19375868605953864,0.04299531051162986,0.004550535446918267,0.8981615868531493,0.8805987603928664,0.863797237143076,0.8872727272859504,0.8632719882733124,0.8405290195824102
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,0.011597313230516234,0.8613938920427613,0.7865168540825023,0.9425004728606724,0.050629820213925494,0.011649310313892134,0.9550350156988633,0.9498738515756713,0.9427887548719769,0.9536583020885656,0.9466559379018954,0.9381496154771313
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,0.01038166410024621,0.8884026260647645,0.8755364809537843,0.24354513826121543,0.06165520005594374,0.01439193453103096,0.9524662147779995,0.9438492642484535,0.9336553022578621,0.9473728599161941,0.9360003292613903,0.9249807902323379
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,0.005456518985307917,0.88320000018688,0.8642745711945794,0.010068346845432424,0.0026967078311390833,0.0007783975742744586,0.7746008170164869,0.7140052356956789,0.7021140295637046,0.7192866579526794,0.6492208175097851,0.6257046224279299
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,0.8994974876897048,0.9283819630546898,0.9350649352335976,0.7197452238224674,0.002194451736605645,0.0007473891020062192,0.8188405803665196,0.7533333341555556,0.7558528436259102,0.779310345588585,0.7313915866298006,0.7243589752424392
